sources,seed,MAE,max_error,spearman,seconds
4,0,0.007018719069935859,0.06805486784552298,0.6189364463767355,0.003574330999981612
4,1,0.007669190978757467,0.09172826378612536,0.5948887683034658,0.002823234999596025
4,2,0.0068658930270793315,0.03868470166358886,0.557703542864928,0.0025720410003486904
4,3,0.00646822375794224,0.05517605137136047,0.5467223857055283,0.0025730740007929853
4,4,0.006632242158773077,0.08352245332816989,0.5616924015162934,0.002957577999950445
4,5,0.006780944212376235,0.062431387290689554,0.6046454294606874,0.0024936700001489953
4,6,0.0075392429568701385,0.17692034571743978,0.6605480661997847,0.0025380870001754374
4,7,0.007661683478319883,0.12451100828440971,0.4934447895106725,0.0025546650003889226
4,8,0.006676488156899618,0.10069724862714961,0.6392593960034639,0.002518733000215434
4,9,0.007662376449541984,0.12417715275612168,0.5126885298605915,0.0026689119995353394
4,10,0.008117565246828707,0.1551614315530164,0.5896898410842282,0.002615252999930817
4,11,0.007173137231299628,0.09928811258009604,0.6217391912377616,0.0025325779997729114
4,12,0.007412950840300917,0.07847184630457031,0.5754627042164652,0.002489667999725498
4,13,0.007054533893912434,0.07407166600293429,0.49512282902685417,0.0025043960004040855
4,14,0.007054528993706577,0.05716549150466574,0.514343072366022,0.002451330000440066
8,0,0.005498159206323307,0.04217386537856744,0.622175404239374,0.004822070000045642
8,1,0.005956463624129939,0.04621070594083396,0.6699358213545143,0.004834839999602991
8,2,0.005315868622933359,0.0354867750035721,0.6280718651362789,0.004821954999897571
8,3,0.005568090691807633,0.04397064539549769,0.6222739208808804,0.004869264000262774
8,4,0.005496761124496315,0.06338427988002737,0.6137715363378754,0.0060398910000003525
8,5,0.005525253016309925,0.042292834693029066,0.6638298057052336,0.004908450000584708
8,6,0.005777463415469266,0.09496727229118904,0.685382744022222,0.004847039999731351
8,7,0.006062781532302623,0.059137234808396416,0.5844265057610741,0.004848261999541137
8,8,0.005397156926218189,0.08671776420611087,0.6487815813738638,0.009657433999564091
8,9,0.006203049987969405,0.06697849638772646,0.6242791702412194,0.0062088539998512715
8,10,0.006375076030915722,0.07414518579960742,0.6627600552531454,0.004925255999296496
8,11,0.005873456737008109,0.05466669750286755,0.6853484308310285,0.0048893789999056025
8,12,0.005515707036183339,0.05029261187231994,0.6729211291034985,0.004922209999676852
8,13,0.006095520752401888,0.09643804030958118,0.5410567673403803,0.0048580450002191355
8,14,0.005724678514721813,0.038435323654781986,0.5522542758009579,0.004819578000024194
16,0,0.004240100691407397,0.03971478801706991,0.6814646698433877,0.00937405900003796
16,1,0.004173664709918092,0.02230243352650181,0.7332037014531501,0.009547098000439291
16,2,0.003947545463238573,0.026072272583457786,0.6861994131842565,0.00949939399924915
16,3,0.004085630592987122,0.030024949506480367,0.6907559159013176,0.00946506699983729
