swaps_per_edge,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.0,0,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,1,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,2,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,3,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,4,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,5,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,6,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,7,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,8,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.0,9,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.5101640211640212,0.42857142857142855,0.5305555555555556,0.6071428571428571,0.5038275821458015,1426,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.7694743055555555,0.12,0.11555555555555563,-0.024349306475179598,0.011329858297660469,0.03212155971451908
0.1,0,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.29536507936507933,0.21428571428571427,0.2857142857142857,0.39285714285714285,0.2911317865975739,824,1,1.0,0.0,0,0.0,0.0,6.0,5.996666666666667,12,0.644,0.13,0.18055555555555558,-0.012823575881928572,0.008182809820643832,0.019549239643747548
0.1,1,300,1200,0.026755852842809364,8.0,0.0973610120462327,0.048374999999999835,8.0,8.0,8.0,9.0,0.28898677248677246,0.21428571428571427,0.2857142857142857,0.39285714285714285,0.2830055352726416,801,1,1.0,0.0,0,0.0,0.0,6.0,5.993333333333333,13,0.6427756944444444,0.10333333333333333,0.13384615384615395,-0.021467873826866955,0.00810360539438959,0.01858998422174332
