n,m,peak_traced_MiB,dense_float64_MiB
100,291,0.4247779846191406,0.0762939453125
300,891,0.7186698913574219,0.6866455078125
1000,2991,3.709827423095703,7.62939453125
3000,8991,12.305801391601562,68.66455078125
10000,29991,35.8393440246582,762.939453125
