dataset,Random,Preferential,Small-world,Block,Geometric
Karate club,16.835913725514608,14.785233722686007,16.902303555081783,16.776762837015866,14.096546479503235
Les Miserables,32.611718938965495,32.571278640150005,33.034261438301364,32.81704201772138,30.88333584005543
Southern women,11.178621705482488,10.032688625593437,12.86218075094034,11.084485297342962,11.272825521894235
Florentine families,111.64870729007534,111.60071080635348,111.92839145440003,111.88595263441945,110.11844396635134
C. elegans,22.299616788919746,23.874317133901137,23.309156662443886,22.101333234866015,24.516013215473777
