beta,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.0,0,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,13,0.8105333333333333,0.12,0.1215384615384616,,0.06104052792557591,0.07826650059714711
0.0,1,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,12,0.8122444444444444,0.12,0.12611111111111128,,0.06104479822624741,0.08722806469982922
0.0,2,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,11,0.8110888888888889,0.12,0.1454545454545455,,0.061037587539732756,0.07619523170951903
0.0,3,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,12,0.8093555555555556,0.12,0.1661111111111111,,0.06103453462954778,0.0807395332224156
0.0,4,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,11,0.8116444444444444,0.12,0.14060606060606062,,0.06104987900232898,0.07961062980692848
0.0,5,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,10,0.8126444444444444,0.12,0.10933333333333328,,0.06104904371455265,0.0858314812688111
0.0,6,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,14,0.8085777777777777,0.12666666666666668,0.06095238095238109,,0.061036805487187006,0.0794262677514939
0.0,7,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,11,0.8133777777777778,0.12,0.11393939393939401,,0.061054660056842174,0.08554648213775902
0.0,8,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,11,0.8138222222222222,0.10666666666666667,0.10424242424242425,,0.06102393671940573,0.07154908281120001
0.0,9,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,10,0.8125111111111111,0.12,0.11133333333333328,,0.06104067761594751,0.08192633302807079
0.001,0,300,1200,0.026755852842809364,8.0,0.014433756729740645,0.0016555555555555213,8.0,8.0,8.0,8.0,0.6397619047619049,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6394905974767913,1791,1,1.0,0.0,0,0.0,0.0,7.0,7.0,12,0.8127552083333334,0.11,0.11944444444444446,-0.0002083767451552393,0.048684408589865794,0.11332453946173127
0.001,1,300,1200,0.026755852842809364,8.0,0.010206207261596576,0.0008305555555554456,8.0,8.0,8.0,8.0,0.6411111111111112,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6409951196286157,1795,1,1.0,0.0,0,0.0,0.0,7.0,7.0,10,0.8134,0.12333333333333334,0.10066666666666668,-0.00010417751849150158,0.057734602097569386,0.10241762082266205
0.001,2,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,11,0.8110888888888889,0.12,0.1454545454545455,,0.061037587539732756,0.07619523170951903
