n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95,family,size,seed,generation_seed,analysis_seed
120,479,0.06708683473389356,7.983333333333333,0.32179446172077214,0.18366388308977033,6.0,8.0,10.0,12.049999999999997,0.06566803566803567,0.027777777777777776,0.05555555555555555,0.09523809523809523,0.06575781876503609,82,1,1.0,0.0,0,0.0,0.0,5.0,4.866666666666666,7,0.3091186841061536,0.2,0.12857142857142856,-0.0034713563789695234,0.01314597590326616,0.036556227622252475,Random,120,0,3760192041,2795257944
120,469,0.06568627450980392,7.816666666666666,0.3352297908049796,0.18558990760483307,6.0,8.0,9.0,13.0,0.055742128242128236,0.0,0.05525030525030525,0.09090909090909091,0.05652535328345802,68,1,1.0,0.0,0,0.0,0.0,5.0,4.883333333333334,9,0.2971617695864267,0.18333333333333332,0.16481481481481475,-0.08613318332468116,0.013323184865001595,0.042041651946771334,Random,120,1,2644280556,3005500293
120,480,0.06722689075630252,8.0,0.34535609641836834,0.1906944444444445,6.0,8.0,10.0,13.049999999999997,0.06420907795907796,0.03571428571428571,0.06538461538461537,0.09523809523809523,0.06364588789942378,81,1,1.0,0.0,1,0.0020833333333333333,0.008333333333333333,6.0,5.466666666666667,8,0.3105490451388889,0.16666666666666666,0.11874999999999991,-0.031226878511355183,0.013003385031058915,0.03374678412930939,Random,120,2,2356875918,2356466040
120,503,0.07044817927170868,8.383333333333333,0.34164187110603794,0.18961232604373768,6.0,8.0,10.0,13.049999999999997,0.06852472010560245,0.03436147186147186,0.06666666666666667,0.09523809523809523,0.07560627674750357,106,1,1.0,0.0,1,0.0019880715705765406,0.008333333333333333,6.0,5.616666666666666,7,0.2982680458007423,0.23333333333333334,0.26666666666666683,0.05715552311907205,0.012507267562709343,0.03216375674863421,Random,120,3,533193457,342337438
120,470,0.06582633053221289,7.833333333333333,0.3442603160881852,0.18845744680851073,6.0,8.0,9.25,12.0,0.06982052791263318,0.027777777777777776,0.06666666666666667,0.10343822843822843,0.07072368421052631,86,1,1.0,0.0,0,0.0,0.0,5.0,4.816666666666666,9,0.31468537799909463,0.14166666666666666,0.0981481481481481,-0.04656886647440971,0.013195326746720063,0.031860767714360624,Random,120,4,3274948972,1635377023
120,433,0.06064425770308123,7.216666666666667,0.3478875778825513,0.19663202463433405,5.75,7.0,9.0,11.0,0.06656903281903281,0.0,0.047619047619047616,0.08333333333333333,0.05570032573289902,57,1,1.0,0.0,1,0.0023094688221709007,0.008333333333333333,5.0,4.675,7,0.32857927665089687,0.2,0.161904761904762,-0.047023529157370896,0.01383321071525404,0.031438175971755425,Random,120,5,3461880107,1588963964
120,470,0.06582633053221289,7.833333333333333,0.33869239674176854,0.19129432624113485,6.0,8.0,10.0,13.0,0.06524128649128648,0.022222222222222223,0.06666666666666667,0.09523809523809523,0.06769400110071547,82,1,1.0,0.0,0,0.0,0.0,5.0,4.783333333333333,9,0.30692168401991854,0.21666666666666667,0.19999999999999996,-0.03727113826162194,0.01323077345940782,0.033437783066336095,Random,120,6,2272706983,3992162881
120,530,0.0742296918767507,8.833333333333334,0.3499478677545548,0.1924842767295598,7.0,9.0,11.0,14.0,0.07526878622466858,0.04707792207792208,0.07207792207792207,0.10064102564102564,0.07682539682539682,121,1,1.0,0.0,0,0.0,0.0,6.0,5.725,8,0.2830455678177287,0.19166666666666668,0.2270833333333333,0.005791273734424744,0.012238985130528028,0.03135459414422586,Random,120,7,2472155355,1833389873
120,443,0.06204481792717087,7.383333333333334,0.36975555167672663,0.20304740406320554,5.0,7.0,9.0,13.0,0.07096200096200095,0.0,0.06666666666666667,0.1,0.0732824427480916,80,2,0.9916666666666667,0.008333333333333333,0,0.0,0.0,5.0,4.75,9,0.3193901624976433,0.15833333333333333,0.19444444444444442,0.012975402943881045,0.012685958929519627,0.032248167003621424,Random,120,8,452765185,1056229671
120,507,0.07100840336134454,8.45,0.35034716293621404,0.19296515450361618,7.0,8.0,10.0,14.0,0.07065091770974123,0.03571428571428571,0.0663003663003663,0.10714285714285714,0.07390192888682315,106,1,1.0,0.0,0,0.0,0.0,6.0,5.583333333333333,6,0.2905730035907551,0.20833333333333334,0.125,-0.011173567315601887,0.012538976210986383,0.03239155505379552,Random,120,9,126938515,2783164926
