mechanism,fraction,seed,signature_distance,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
Uniform,0.0,0,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,1,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,2,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,3,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,4,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,5,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,6,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,7,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,8,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
Uniform,0.0,9,0.0,300,1249,0.027848383500557412,8.326666666666666,0.32254883943668544,0.181056845476381,6.75,8.0,10.0,13.0,0.0466519869019869,0.0,0.03571428571428571,0.06666666666666667,0.046907065376722366,160,1,1.0,0.0,2,0.0016012810248198558,0.006666666666666667,6.0,5.586666666666667,4,0.49513077235206904,0.25666666666666665,0.01333333333333342,-0.01958416701860475,0.006777681738989988,0.01914377333376024
