atlas_id,n,m,degree_key,closure_key,extended_key
611,7,10,"(7, (1, 1, 3, 3, 4, 4, 4))","(7, (1, 1, 3, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.833333333333), np.float64(0.833333333333), np.float64(0.833333333333), np.float64(1.0), np.float64(1.0)))","(7, (1, 1, 3, 3, 4, 4, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.833333333333), np.float64(0.833333333333), np.float64(0.833333333333), np.float64(1.0), np.float64(1.0)), (1, 1, 3, 3, 3, 3, 3), 1, 2)"
612,7,10,"(7, (1, 2, 2, 2, 2, 5, 6))","(7, (1, 2, 2, 2, 2, 5, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(0.4), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 2, 2, 5, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(0.4), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
613,7,10,"(7, (1, 2, 2, 2, 3, 4, 6))","(7, (1, 2, 2, 2, 3, 4, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 2, 3, 4, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
614,7,10,"(7, (1, 2, 2, 2, 3, 5, 5))","(7, (1, 2, 2, 2, 3, 5, 5), (np.float64(0.0), np.float64(0.3), np.float64(0.4), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 2, 3, 5, 5), (np.float64(0.0), np.float64(0.3), np.float64(0.4), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
615,7,10,"(7, (1, 2, 2, 2, 3, 5, 5))","(7, (1, 2, 2, 2, 3, 5, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.4), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 2, 3, 5, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.4), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
616,7,10,"(7, (1, 2, 2, 2, 4, 4, 5))","(7, (1, 2, 2, 2, 4, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 2, 4, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
617,7,10,"(7, (1, 2, 2, 2, 4, 4, 5))","(7, (1, 2, 2, 2, 4, 4, 5), (np.float64(0.0), np.float64(0.3), np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 2, 4, 4, 5), (np.float64(0.0), np.float64(0.3), np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
618,7,10,"(7, (1, 2, 2, 3, 3, 3, 6))","(7, (1, 2, 2, 3, 3, 3, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 3, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
619,7,10,"(7, (1, 2, 2, 3, 3, 3, 6))","(7, (1, 2, 2, 3, 3, 3, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 3, 6), (np.float64(0.0), np.float64(0.266666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 3, 3, 3, 3), 1, 1)"
620,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.333333333333), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.333333333333), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
621,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.5), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
622,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.3), np.float64(0.5), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.3), np.float64(0.5), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
623,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.4), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
624,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(1.0)), (1, 2, 2, 2, 2, 2, 2), 1, 1)"
625,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.4), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.4), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 1, 2, 3, 3, 3, 3), 2, 1)"
626,7,10,"(7, (1, 2, 2, 3, 3, 4, 5))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.5), np.float64(1.0), np.float64(1.0)))","(7, (1, 2, 2, 3, 3, 4, 5), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3), np.float64(0.5), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 3, 3, 3, 3), 1, 1)"
