atlas_id,n,m,degree_key,closure_key,extended_key
2,2,0,"(2, (0, 0))","(2, (0, 0), (np.int64(0), np.int64(0)))","(2, (0, 0), (np.int64(0), np.int64(0)), (0, 0), 0, 2)"
3,2,1,"(2, (1, 1))","(2, (1, 1), (np.int64(0), np.int64(0)))","(2, (1, 1), (np.int64(0), np.int64(0)), (1, 1), 1, 1)"
4,3,0,"(3, (0, 0, 0))","(3, (0, 0, 0), (np.int64(0), np.int64(0), np.int64(0)))","(3, (0, 0, 0), (np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0), 0, 3)"
5,3,1,"(3, (0, 1, 1))","(3, (0, 1, 1), (np.int64(0), np.int64(0), np.int64(0)))","(3, (0, 1, 1), (np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1), 1, 2)"
6,3,2,"(3, (1, 1, 2))","(3, (1, 1, 2), (np.int64(0), np.int64(0), np.int64(0)))","(3, (1, 1, 2), (np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1), 2, 1)"
7,3,3,"(3, (2, 2, 2))","(3, (2, 2, 2), (np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(3, (2, 2, 2), (np.float64(1.0), np.float64(1.0), np.float64(1.0)), (2, 2, 2), 0, 1)"
8,4,0,"(4, (0, 0, 0, 0))","(4, (0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 0), 0, 4)"
9,4,1,"(4, (0, 0, 1, 1))","(4, (0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1), 1, 3)"
10,4,2,"(4, (0, 1, 1, 2))","(4, (0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1), 2, 2)"
11,4,2,"(4, (1, 1, 1, 1))","(4, (1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1), 2, 2)"
12,4,3,"(4, (0, 2, 2, 2))","(4, (0, 2, 2, 2), (np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(4, (0, 2, 2, 2), (np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 2, 2, 2), 0, 2)"
13,4,3,"(4, (1, 1, 1, 3))","(4, (1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1), 3, 1)"
14,4,3,"(4, (1, 1, 2, 2))","(4, (1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1), 3, 1)"
15,4,4,"(4, (1, 2, 2, 3))","(4, (1, 2, 2, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)))","(4, (1, 2, 2, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2), 1, 1)"
16,4,4,"(4, (2, 2, 2, 2))","(4, (2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (2, 2, 2, 2), 0, 1)"
17,4,5,"(4, (2, 2, 3, 3))","(4, (2, 2, 3, 3), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(4, (2, 2, 3, 3), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (2, 2, 2, 2), 0, 1)"
18,4,6,"(4, (3, 3, 3, 3))","(4, (3, 3, 3, 3), (np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(4, (3, 3, 3, 3), (np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (3, 3, 3, 3), 0, 1)"
19,5,0,"(5, (0, 0, 0, 0, 0))","(5, (0, 0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 0, 0), 0, 5)"
20,5,1,"(5, (0, 0, 0, 1, 1))","(5, (0, 0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 1, 1), 1, 4)"
21,5,2,"(5, (0, 0, 1, 1, 2))","(5, (0, 0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1, 1), 2, 3)"
22,5,2,"(5, (0, 1, 1, 1, 1))","(5, (0, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1), 2, 3)"
23,5,3,"(5, (0, 0, 2, 2, 2))","(5, (0, 0, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (0, 0, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 0, 2, 2, 2), 0, 3)"
24,5,3,"(5, (0, 1, 1, 1, 3))","(5, (0, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1), 3, 2)"
25,5,3,"(5, (0, 1, 1, 2, 2))","(5, (0, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1), 3, 2)"
26,5,3,"(5, (1, 1, 1, 1, 2))","(5, (1, 1, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (1, 1, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1), 3, 2)"
27,5,4,"(5, (0, 1, 2, 2, 3))","(5, (0, 1, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)))","(5, (0, 1, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)), (0, 1, 2, 2, 2), 1, 2)"
28,5,4,"(5, (0, 2, 2, 2, 2))","(5, (0, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 2, 2, 2, 2), 0, 2)"
29,5,4,"(5, (1, 1, 1, 1, 4))","(5, (1, 1, 1, 1, 4), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (1, 1, 1, 1, 4), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1), 4, 1)"
30,5,4,"(5, (1, 1, 1, 2, 3))","(5, (1, 1, 1, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (1, 1, 1, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1), 4, 1)"
31,5,4,"(5, (1, 1, 2, 2, 2))","(5, (1, 1, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (1, 1, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1), 4, 1)"
32,5,4,"(5, (1, 1, 2, 2, 2))","(5, (1, 1, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (1, 1, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 1, 2, 2, 2), 1, 2)"
33,5,5,"(5, (0, 2, 2, 3, 3))","(5, (0, 2, 2, 3, 3), (np.float64(0.0), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(5, (0, 2, 2, 3, 3), (np.float64(0.0), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (0, 2, 2, 2, 2), 0, 2)"
34,5,5,"(5, (1, 1, 2, 2, 4))","(5, (1, 1, 2, 2, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(1.0), np.float64(1.0)))","(5, (1, 1, 2, 2, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(1.0), np.float64(1.0)), (1, 1, 2, 2, 2), 2, 1)"
35,5,5,"(5, (1, 1, 2, 3, 3))","(5, (1, 1, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(1.0)))","(5, (1, 1, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(1.0)), (1, 1, 2, 2, 2), 2, 1)"
36,5,5,"(5, (1, 2, 2, 2, 3))","(5, (1, 2, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)))","(5, (1, 2, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)), (1, 1, 2, 2, 2), 2, 1)"
37,5,5,"(5, (1, 2, 2, 2, 3))","(5, (1, 2, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (1, 2, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 2, 2, 2, 2), 1, 1)"
38,5,5,"(5, (2, 2, 2, 2, 2))","(5, (2, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (2, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (2, 2, 2, 2, 2), 0, 1)"
39,5,6,"(5, (0, 3, 3, 3, 3))","(5, (0, 3, 3, 3, 3), (np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (0, 3, 3, 3, 3), (np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 3, 3, 3, 3), 0, 2)"
40,5,6,"(5, (1, 2, 2, 3, 4))","(5, (1, 2, 2, 3, 4), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(5, (1, 2, 2, 3, 4), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2, 2), 1, 1)"
41,5,6,"(5, (1, 2, 3, 3, 3))","(5, (1, 2, 3, 3, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0)))","(5, (1, 2, 3, 3, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0)), (1, 2, 2, 2, 2), 1, 1)"
42,5,6,"(5, (2, 2, 2, 2, 4))","(5, (2, 2, 2, 2, 4), (np.float64(0.333333333333), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (2, 2, 2, 2, 4), (np.float64(0.333333333333), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (2, 2, 2, 2, 2), 0, 1)"
43,5,6,"(5, (2, 2, 2, 3, 3))","(5, (2, 2, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(1.0)))","(5, (2, 2, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(1.0)), (2, 2, 2, 2, 2), 0, 1)"
44,5,6,"(5, (2, 2, 2, 3, 3))","(5, (2, 2, 2, 3, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (2, 2, 2, 3, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (2, 2, 2, 2, 2), 0, 1)"
45,5,7,"(5, (1, 3, 3, 3, 4))","(5, (1, 3, 3, 3, 4), (np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (1, 3, 3, 3, 4), (np.float64(0.0), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (1, 3, 3, 3, 3), 1, 1)"
46,5,7,"(5, (2, 2, 2, 4, 4))","(5, (2, 2, 2, 4, 4), (np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (2, 2, 2, 4, 4), (np.float64(0.5), np.float64(0.5), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (2, 2, 2, 2, 2), 0, 1)"
47,5,7,"(5, (2, 2, 3, 3, 4))","(5, (2, 2, 3, 3, 4), (np.float64(0.5), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(5, (2, 2, 3, 3, 4), (np.float64(0.5), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (2, 2, 2, 2, 2), 0, 1)"
48,5,7,"(5, (2, 3, 3, 3, 3))","(5, (2, 3, 3, 3, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667)))","(5, (2, 3, 3, 3, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(0.666666666667), np.float64(0.666666666667)), (2, 2, 2, 2, 2), 0, 1)"
49,5,8,"(5, (2, 3, 3, 4, 4))","(5, (2, 3, 3, 4, 4), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (2, 3, 3, 4, 4), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (2, 3, 3, 3, 3), 0, 1)"
50,5,8,"(5, (3, 3, 3, 3, 4))","(5, (3, 3, 3, 3, 4), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667)))","(5, (3, 3, 3, 3, 4), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(0.666666666667)), (3, 3, 3, 3, 3), 0, 1)"
51,5,9,"(5, (3, 3, 4, 4, 4))","(5, (3, 3, 4, 4, 4), (np.float64(0.833333333333), np.float64(0.833333333333), np.float64(0.833333333333), np.float64(1.0), np.float64(1.0)))","(5, (3, 3, 4, 4, 4), (np.float64(0.833333333333), np.float64(0.833333333333), np.float64(0.833333333333), np.float64(1.0), np.float64(1.0)), (3, 3, 3, 3, 3), 0, 1)"
52,5,10,"(5, (4, 4, 4, 4, 4))","(5, (4, 4, 4, 4, 4), (np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (4, 4, 4, 4, 4), (np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (4, 4, 4, 4, 4), 0, 1)"
53,6,0,"(6, (0, 0, 0, 0, 0, 0))","(6, (0, 0, 0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 0, 0, 0), 0, 6)"
54,6,1,"(6, (0, 0, 0, 0, 1, 1))","(6, (0, 0, 0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 0, 1, 1), 1, 5)"
55,6,2,"(6, (0, 0, 1, 1, 1, 1))","(6, (0, 0, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1, 1, 1), 2, 4)"
56,6,2,"(6, (0, 0, 0, 1, 1, 2))","(6, (0, 0, 0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 1, 1, 1), 2, 4)"
57,6,3,"(6, (0, 0, 0, 2, 2, 2))","(6, (0, 0, 0, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(6, (0, 0, 0, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 0, 0, 2, 2, 2), 0, 4)"
58,6,3,"(6, (0, 0, 1, 1, 1, 3))","(6, (0, 0, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1, 1, 1), 3, 3)"
59,6,3,"(6, (0, 0, 1, 1, 2, 2))","(6, (0, 0, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1, 1, 1), 3, 3)"
60,6,3,"(6, (0, 1, 1, 1, 1, 2))","(6, (0, 1, 1, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 1, 1, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1, 1), 3, 3)"
61,6,3,"(6, (1, 1, 1, 1, 1, 1))","(6, (1, 1, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 3, 3)"
62,6,4,"(6, (0, 0, 1, 2, 2, 3))","(6, (0, 0, 1, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)))","(6, (0, 0, 1, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)), (0, 0, 1, 2, 2, 2), 1, 3)"
63,6,4,"(6, (0, 0, 2, 2, 2, 2))","(6, (0, 0, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 0, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 2, 2, 2, 2), 0, 3)"
64,6,4,"(6, (0, 1, 1, 1, 1, 4))","(6, (0, 1, 1, 1, 1, 4), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 1, 1, 1, 1, 4), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1, 1), 4, 2)"
65,6,4,"(6, (0, 1, 1, 1, 2, 3))","(6, (0, 1, 1, 1, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 1, 1, 1, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1, 1), 4, 2)"
66,6,4,"(6, (0, 1, 1, 2, 2, 2))","(6, (0, 1, 1, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 1, 1, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1, 1), 4, 2)"
67,6,4,"(6, (0, 1, 1, 2, 2, 2))","(6, (0, 1, 1, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(6, (0, 1, 1, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 1, 1, 2, 2, 2), 1, 3)"
68,6,4,"(6, (1, 1, 1, 1, 1, 3))","(6, (1, 1, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 4, 2)"
69,6,4,"(6, (1, 1, 1, 1, 2, 2))","(6, (1, 1, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 4, 2)"
70,6,4,"(6, (1, 1, 1, 1, 2, 2))","(6, (1, 1, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 4, 2)"
71,6,5,"(6, (0, 0, 2, 2, 3, 3))","(6, (0, 0, 2, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(6, (0, 0, 2, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (0, 0, 2, 2, 2, 2), 0, 3)"
72,6,5,"(6, (0, 1, 1, 2, 2, 4))","(6, (0, 1, 1, 2, 2, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(1.0), np.float64(1.0)))","(6, (0, 1, 1, 2, 2, 4), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.166666666667), np.float64(1.0), np.float64(1.0)), (0, 1, 1, 2, 2, 2), 2, 2)"
73,6,5,"(6, (0, 1, 1, 2, 3, 3))","(6, (0, 1, 1, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(1.0)))","(6, (0, 1, 1, 2, 3, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(0.333333333333), np.float64(1.0)), (0, 1, 1, 2, 2, 2), 2, 2)"
74,6,5,"(6, (0, 1, 2, 2, 2, 3))","(6, (0, 1, 2, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)))","(6, (0, 1, 2, 2, 2, 3), (np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)), (0, 1, 1, 2, 2, 2), 2, 2)"
75,6,5,"(6, (0, 1, 2, 2, 2, 3))","(6, (0, 1, 2, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 1, 2, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 2, 2, 2, 2), 1, 2)"
76,6,5,"(6, (0, 2, 2, 2, 2, 2))","(6, (0, 2, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (0, 2, 2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 2, 2, 2, 2, 2), 0, 2)"
77,6,5,"(6, (1, 1, 1, 1, 1, 5))","(6, (1, 1, 1, 1, 1, 5), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 1, 5), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 5, 1)"
78,6,5,"(6, (1, 1, 1, 1, 2, 4))","(6, (1, 1, 1, 1, 2, 4), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 2, 4), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 5, 1)"
79,6,5,"(6, (1, 1, 1, 1, 3, 3))","(6, (1, 1, 1, 1, 3, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 1, 3, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 5, 1)"
80,6,5,"(6, (1, 1, 1, 2, 2, 3))","(6, (1, 1, 1, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 5, 1)"
81,6,5,"(6, (1, 1, 1, 2, 2, 3))","(6, (1, 1, 1, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(6, (1, 1, 1, 2, 2, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1, 1, 1), 5, 1)"
