mu,seed,ARI,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.0,0,1.0,300,1225,0.027313266443701228,8.166666666666666,0.32177661752656744,0.18051972789115633,6.0,8.0,10.0,13.0,0.09867600917600917,0.05036630036630037,0.09523809523809523,0.14148351648351648,0.10147733061640346,332,4,0.25,0.0,0,0.0,0.0,6.0,5.4,4,0.7498702207413578,0.25,0.0,0.004068953662549511,0.0010309802282437058,0.00315339395123293
0.0,1,1.0,300,1236,0.027558528428093646,8.24,0.30866941701219597,0.1687567421790721,6.0,8.0,10.0,12.0,0.11463899063899063,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.11251134186914004,372,4,0.25,0.0,0,0.0,0.0,6.0,5.473333333333334,4,0.7497185303882448,0.25,0.0,-0.03951103536795385,0.0010566148010127878,0.0032628040304214802
0.0,2,1.0,300,1218,0.027157190635451505,8.12,0.35747394200052685,0.2016611932129173,6.0,8.0,10.0,13.0,0.12263570688570688,0.07023809523809524,0.1111111111111111,0.16666666666666666,0.11564009661835749,383,4,0.25,0.0,2,0.0016420361247947454,0.006666666666666667,6.0,5.156666666666666,4,0.7486457920465055,0.25,0.0,0.023106097686478585,0.0010416221651196845,0.003561595398604462
0.0,3,1.0,300,1175,0.026198439241917504,7.833333333333333,0.3237679925383363,0.18030070921985808,6.0,8.0,9.0,13.0,0.09731487956487955,0.047619047619047616,0.09090909090909091,0.14285714285714285,0.09573048699132755,287,4,0.25,0.0,0,0.0,0.0,6.0,5.013333333333334,4,0.749858940697148,0.25,0.0,-0.043232023101713736,0.0010759331271122804,0.00327446476591858
0.0,4,1.0,300,1175,0.026198439241917504,7.833333333333333,0.3503603525529309,0.1960453900709218,6.0,8.0,10.0,13.0,0.10656242450360097,0.06666666666666667,0.10714285714285714,0.14285714285714285,0.1136586963642319,347,4,0.25,0.0,0,0.0,0.0,6.0,4.943333333333333,4,0.7494605703938434,0.25,0.0,0.021653537340817968,0.0010455544351674585,0.0033819664318693096
0.0,5,1.0,300,1151,0.025663322185061316,7.673333333333333,0.3559459496877228,0.19721980886185908,6.0,7.5,9.25,13.0,0.09920819580030106,0.05555555555555555,0.09307359307359307,0.13333333333333333,0.09681818181818182,284,4,0.25,0.0,1,0.0008688097306689834,0.0033333333333333335,5.0,4.77,4,0.7493774536704003,0.25,0.0,0.02273511443667936,0.0010655845418809226,0.003591780668026567
0.0,6,0.9955604389077789,300,1237,0.02758082497212932,8.246666666666666,0.3463731075485951,0.19396658582592297,6.0,8.0,10.0,13.0,0.11193691928986046,0.07023809523809524,0.1027526395173454,0.14285714285714285,0.11189634864546526,380,5,0.25,0.0033333333333333335,1,0.0008084074373484236,0.0033333333333333335,6.0,5.373333333333333,5,0.7498923321541607,0.25,0.19866666666666677,0.010583370346264062,0.0009964091714643425,0.0029163755226369347
0.0,7,1.0,300,1194,0.026622073578595317,7.96,0.33297540609143755,0.18753489670575085,6.0,8.0,10.0,13.0,0.10848993598993596,0.06666666666666667,0.10811688311688311,0.14285714285714285,0.10668517727466895,333,4,0.25,0.0,0,0.0,0.0,6.0,5.21,4,0.7497117076168109,0.25,0.0,-0.03773602304702412,0.0010773670256732503,0.0033144000030410725
0.0,8,1.0,300,1215,0.02709030100334448,8.1,0.3472187928500058,0.19237860082304525,6.0,8.0,10.0,13.0,0.10565660428895723,0.06666666666666667,0.1,0.14285714285714285,0.1060837664322837,347,4,0.25,0.0,0,0.0,0.0,6.0,5.35,4,0.7490673847143898,0.25,0.0,-0.013168238289504763,0.0010511804113142286,0.0032896487597657916
0.0,9,1.0,300,1297,0.02891861761426979,8.646666666666667,0.33522625621320684,0.18818041634541238,7.0,8.0,11.0,14.0,0.1266235314393209,0.08888888888888889,0.12200956937799043,0.16666666666666666,0.12587224906065486,469,4,0.25,0.0,1,0.0007710100231303007,0.0033333333333333335,6.0,5.496666666666667,4,0.7489604442729768,0.25,0.0,0.00122158425418294,0.0009986318494092734,0.002981369940590264
