dataset,seed_a,seed_b,ARI
C. elegans,0,19,0.6225869197320216
C. elegans,1,2,0.5039409108814159
C. elegans,1,3,0.46486379068646505
C. elegans,1,4,0.4673953465810791
C. elegans,1,5,0.5454369746710728
C. elegans,1,6,0.6019481552181809
C. elegans,1,7,0.4546745562130178
C. elegans,1,8,0.5989863410700826
C. elegans,1,9,0.649254825323669
C. elegans,1,10,0.432299247557647
C. elegans,1,11,0.44998753491096616
C. elegans,1,12,0.44937258850409534
C. elegans,1,13,0.6548037332215824
C. elegans,1,14,0.5569087273703944
C. elegans,1,15,0.4847253410544184
C. elegans,1,16,0.49646000366871174
C. elegans,1,17,0.4294711024231918
C. elegans,1,18,0.566871813179564
C. elegans,1,19,0.49615809789601495
C. elegans,2,3,0.6594355722145612
C. elegans,2,4,0.6218380476802817
C. elegans,2,5,0.6223851659296361
C. elegans,2,6,0.7181299620730299
C. elegans,2,7,0.5989162882484746
C. elegans,2,8,0.7111059126191736
C. elegans,2,9,0.561641593203997
C. elegans,2,10,0.5268120737488055
C. elegans,2,11,0.5916517672622387
C. elegans,2,12,0.567052188314732
